qed,plogp,smile
0.7319008436872337,3.1399057164163766,CC(C)(C)c1ccc2occ(CC(=O)Nc3ccccc3F)c2c1
0.9411116113894995,0.17238635659148804,C[C@@H]1CC(Nc2cncc(-c3nncn3C)c2)C[C@@H](C)C1
0.626104542084784,2.6184228720536984,N#Cc1ccc(-c2ccc(O[C@@H](C(=O)N3CCCC3)c3ccccc3)cc2)cc1
0.716224500059291,-1.9748466169185404,CCOC(=O)[C@@H]1CCCN(C(=O)c2nc(-c3ccc(C)cc3)n3c2CCCCC3)C1
0.8095718119534945,-0.205555119646041,N#CC1=C(SCC(=O)Nc2cccc(Cl)c2)N=C([O-])[C@H](C#N)C12CCCCC2
0.8271497220047328,-2.1505592028161398,CC[NH+](CC)[C@](C)(CC)[C@H](O)c1cscc1Br
0.32273199939356534,-0.6073344037811803,COc1ccc(C(=O)N(C)[C@@H](C)C/C(N)=N/O)cc1O
0.6867867336169149,0.5940321896618876,O=C(Nc1nc[nH]n1)c1cccnc1Nc1cccc(F)c1
0.5036973395225374,1.4160137655860436,Cc1c(/C=N/c2cc(Br)ccn2)c(O)n2c(nc3ccccc32)c1C#N
0.8223798445329892,-2.00383888453492,C[C@@H]1CN(C(=O)c2cc(Br)cn2C)CC[C@H]1[NH3+]
0.5421263113281531,2.3610308547741328,CCOc1ccc(OCC)c([C@H]2C(C#N)=C(N)N(c3ccccc3C(F)(F)F)C3=C2C(=O)CCC3)c1
0.6588013717387127,1.2715759012884043,Cc1ccc2nc(S[C@H](C)C(=O)NC3CCC(C)CC3)n(C)c(=O)c2c1
0.8726164758190363,0.49881436726711487,O=C(N1CCc2c(F)ccc(F)c2C1)C1(O)Cc2ccccc2C1
0.8187136531953373,0.6203506775426672,Cc1ccccc1C(=O)N1CCC2(CC1)C[C@H](c1ccccc1)C(=O)N2C
0.7819128540578172,-0.3100600013755512,CCCc1cc(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)n(C)n1
